Address,Price,Let available date,Deposit,Min. Tenancy,Let type,Furnish type,Council Tax,description,features
"Newton Avenue, Muswell Hill, London, N10","£1,725 pcm",01/09/2023,"£0A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Part furnished,Ask agent,NO DEPOSIT OPTION AVAILABLE. A ground floor two bedroom flat set in a popular purpose built building. This benefits from having direct access to a well maintained communal gardens and private parking.,"2 bedrooms, 1 Reception, 1 Bathroom, Ground Floor, Parking, Communal Garden"
"Beaumont Court, Beaumont Street, London, W1G","£1,950 pcm",29/09/2023,"£2,250A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"Well presented, raised ground floor studio apartment located in this popular residential building in the heart of Marylebone Village.Accommodation comprises stylish well-proportioned studio room, modern well equipped open plan kitchen, shower room, fantastic storage space. The property is located equidistant to Baker Street (Bakerloo, Circle, Hammersmith, Jubilee and Metropolitan lines) and Bond Street (Central line) Underground stations and Marylebone mainline station. Rent £450PW (£1950PCM) | Deposit (£2250) | Length of tenancy (12 months) | Council tax band (Westminster City Council band F)BrochuresWeb Details",
"Prince Of Wales Terrace, London, W8","£20,367 pcm",Now,"£0A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,"The West Penthouse at Prince of Wales Terrace is a luxurious 1,299 sq. ft, three-bedroom duplex apartment with superb views over Hyde Park and London. It is beautifully interior designed and fitted to the highest specification to accommodate modern lifestyles. The apartment features a grand hallway leading onto the bedrooms and an open plan kitchen/living area.Each bedroom benefits from an ensuite bathroom with natural marble, bespoke vanity units, mirrored cabinets, a bathtub or walk-in shower, Aquavision TVs, Zuchetti Italian designer chrome ware with 200mm rainfall shower heads, Toto style VitrA V-care WC with automatic open/close seat lid.The upper floor comprises a sleek fitted kitchen with Carrara quartz kitchen worktops and Cohiba marble surfaces, bespoke high-gloss veneered kitchens with Gaggenau and Miele appliances, and a bespoke breakfast bar and dining table accommodating up to 6. The open-plan kitchen is connected to a spacious living room equipt with an elevated snug area.Full-height Schuco sliding glazed doors leading to the roof terrace with an outdoor bio-fuel fire pit and 55” Samsung Terrace 4K QLED Outdoor Smart TV, perfect for hosting guests and warm weather entertaining.Crestron smart touchscreen controls operating AV / Music, DALI lighting, Penthouse door controls, heating/comfort cooling systems, CCTV access, and curtains. Alexa voice control is linked to Crestron.• 65” Samsung Smart televisions with Apple TV in receptions• 50” Samsung Smart televisions in primary bedrooms• 43” Samsung televisions in second bedrooms• 32” Aqua vision televisions in primary bathrooms• 5.1 surround-sound Sonos system in receptions with Sonos soundbar to all bedroom televisions,Wi-Fi enabled with BT telephone lines and high-speed Virgin broadband. iPad to control the Crestron system.BrochuresParticulars",
"Womersley Road, Crouch End, London","£1,750 pcm",26/07/2023,"£1,789A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Part furnished,Ask agent,"A bright period converted one bedroom apartment on the raised ground floor of a large Victorian terraced house with its own private garden. Situated equal distance from Crouch End and Stroud Green and within easy reach of Finsbury Park and Crouch Hill stations with links to the city. The property comprises of double bedroom, shower room (newly fitted), large kitchen diner and separate reception room. The property is finished to a high standard throughout and benefits from additional features of bike storage and double glazing. Viewing Highly RecommendedBrochuresParticulars","One double bedroom, Spacious reception room, Fully fitted Kitchen diner, New bathroom, Garden set to paving, Bike storage, Plenty of storage, Quiet residential Road, Crouch End shops 5 minute walk, Transport links at Finsbury Park tube and Crouch Hill over ground train"
"1f Oval Road, London, NW1","£2,500 pcm",03/09/2023,"£2,884A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",12 months,Long term,Furnished,Ask agent,"Lovely 2 bedroom raised ground floor flat in Georgian period detached house opposite Regent-s Park Terrace.  The property is furnished and has tall ceilings, bright rooms, a spacious lounge, and 2 double bedrooms. A few minutes from Regents Park and Primrose Hill, Camden Market and Camden Tube Station.Deposit: £2884Sorry, no petsEnergy efficiency rating: 71 – Band CCouncil Tax Band:DReference: 007543Please note, by submitting an enquiry regarding this property you agree that we may send your details to the landlord of this property so they may contact you in order to answer any questions, or arrange a convenient viewing time. STRICTLY NO AGENT OR SUB-LETTING CALLS.BrochuresProperty Brochure","Close To Camden Town Tube, Very Close Proximity To Camden Market, Regents Park Is Around The Corner And A Short Walk To Primrose Hill"
"Sloane Avenue Mansions, Chelsea, London, SW3","£2,275 pcm",Ask agent,"£2,625A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"LONG LET. An outstanding 1 bedroom flat which has been meticulously re-designed and redecorated to provide this exceptional living space with bespoke wardrobes and fitted kitchen.Sloane Avenue Mansions is equidistant from the fashionable boutiques, bars and restaurants on King's Road and Fulham Road while the amenities of Sloane Square are close by. Sloane Square and South Kensington underground stations are nearby. Please use the reference KNCL0063142 when contacting Foxtons.BrochuresProperty detailsSuper sized images","Purpose built development with porterage and lift service, Smart and contemporary 1 bedroom 2nd floor flat, Exceptional living space with modern fixtures throughout, Open-plan kitchen, Excellent location"
"Loudoun Road, St Johns Wood, London","£2,687 pcm",15/08/2023,"Ask agentA deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,"A superb 2 double bedroom 2 bathroom (1 en-suite) apartment in a new development. The apartment has a luxury open plan fully fitted kitchen, spacious reception room with wonderful views and wood floors leading out to a private balcony. EPC:C.  Council Tax E. Available from 15th August. Viewing via Rose & Co Estates  .BrochuresFull Details","A stunning 2 double bedroom 2 bathroom ( 1 En-suite) apartment within a new development on Loudoun Road , Ideal for South Hampstead overground station ( 6 mins to Euston) and Swiss Cottage Jubilee line station, Spacious reception room with wonderful views & wood floor. Leading out to a private balcony, Luxury open plan fully fitted kitchen , Lift Entryphone. Available now. EPC: C. Council tax E. Available from 15th August , Viewing via Rose & Co Estates   "
"Nelson Road, Wimbledon, London, SW19","£3,750 pcm",Ask agent,"£4,327A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Part furnished,Ask agent,"LONG LET. Boasting a simply stunning refurbishment throughout, this gorgeous 3 bedroom house oozes style with a fantastic contemporary décor and high standard finish throughout.Nelson Road is a no-through road off Merton High Street, situated within easy reach of the centre of Wimbledon, which offers a comprehensive range of shops, restaurants and other amenities. Please use the reference CHPK2635792 when contacting Foxtons.BrochuresProperty detailsSuper sized images","Fantastic eat-in kitchen with bi-folding doors to garden, Master bedroom with en-suite shower and eaves access, Beautiful garden with patio area ideal for entertaining, Fully integrated appliances within kitchen, Lovely bay-fronted reception room with wood flooring, Separate WC on ground floor, Plethora of storage space throughout property, Available with Zero Deposit"
"Millbank, Westminster, London, SW1P","£6,950 pcm",Ask agent,"Ask agentA deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",12 months,Long term,Furnished,Ask agent,"The large open plan kitchen and living room has lovely views of the River Thames and boasts a spacious dining area. Located on the fifth floor, this 1,077 square foot apartment has three double bedrooms, two bathrooms. Within the exclusive new development there are excellent residents' amenities including a Gym, Swimming pool, spa and treatments room, cinema room and 24hr concierge Millbank is fantastically located near to the theatres of the West End, amenities of Knightsbridge, and wonderful local restaurants. There are excellent educational institutions nearby as well as the transport links of Westminster, Victoria, St James Park and Pimlico Underground and National Rail Stations.BrochuresBrochure","3 large bedrooms, 2 bathrooms, Spacious dining area, 1,077 sq ft, Fifth floor, Luxury residents facilities, Prestigious location, 24 hour concierge, Excellent transport links, Sought after location"
"Kensington Gardens Square, Notting Hill, London, W2","£3,662 pcm",Ask agent,"£4,225A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,LONG LET. A wonderful 1 bedroom flat situated on the 3rd floor of a stunning Grade II listed apartment building featuring modern open plan accommodation throughout and access to stunning communal gardens.Kensington Garden Square is situated moments from Bayswater Station for links around the city while the green open spaces of Hyde Park are also within close proximity. Please use the reference CHPK2268712 when contacting Foxtons.BrochuresProperty detailsSuper sized images,"24 hour porter service, Beautifully presented interiors, Access to amazing communal gardens, Modern and contemporary kitchen and bathroom, Fabulous location moments from local amenities"
"Victoria Road, Alexandra Park, N22","£4,000 pcm",09/09/2023,"£4,615A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,"NO DEPOSIT OPTION AVAILABLE. An amazing four bedroom house set over three levels located on a popular Road close to Rhodes Primary and Alexandra Park Secondary Schools. Further features include two reception rooms, a modern eat in kitchen and a well maintained garden.BrochuresParticulars","4 Bedrooms, 2 Receptions, Set Over 3 Levels, Eat-In Kitchen, Well Maintained Garden, Close To Outstanding Ofsted Schools, Good Condition"
"Greatorex Street, Aldgate, London, E1","£1,900 pcm",Ask agent,"£2,193A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Part furnished,Ask agent,"LONG LET. Beautifully presented throughout the property comprises reception room with ample space to dine, fully fitted open-plan kitchen complete with appliances, bedroom and a chic bathroom.With a fantastic array of art galleries, restaurants, bars and boutiques all to hand, the property is ideally located only moments from Brick Lane. It is also very close to the financial heart of the City. Transport links include Liverpool Street. Please use the reference CHPK0334274 when contacting Foxtons.BrochuresProperty detailsSuper sized images","Superb one bedroom apartment, Located on the third floor, Reception room with ample space to dine, Fitted open-plan kitchen complete with appliances, Ample bedroom, Chic bathroom, Great Location"
"Doughty Street, London, WC1N","£2,383 pcm",07/09/2023,"Ask agentA deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Unfurnished,Ask agent,"A spacious and bright one bedroom flat located on Doughty Street in the heart of Bloomsbury.  This stunning flat spanning over 820 sqft, is situated on the lower ground level of a beautiful period building. The flat comprises a large reception area, double bedroom, one bathroom, a fully fitted kitchen and a private courtyard.  The reception area boasts wooden chevron floors, large sash windows, built-in storage and a fireplace. The bedroom, which overlooks the courtyard, features a built in wardrobe and leads onto the ensuite shower room. The kitchen is equipped with a dishwasher and washer dryer. There is a gas central heating throughout.  Located just a short walk to Farringdon, Russel Square, Chancery Lane and Kings Cross / St Pancras Stations.  Offered unfurnished and available from the first week of September 2023.BrochuresFull Details","One double bedroom , One bathroom, Spacious reception area, Fully fitted kitchen , Dishwasher , Wooden chevron floors , Private courtyard , Period features, Unfurnished , Available September 2023"
"Church Street, Enfield EN2 ","£2,950 pcm",25/09/2023,"£3,403A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,"| Three bedrooms | Two bathrooms | Electricity Included in Rent | Outside Space | Newly refurbished | Furnished or Unfurnished | Centre of Enfield Town | Private Outside space terrace | Furnished or Unfurnished | Arranged over two floors |  A three bedroom split level apartment which has been newly refurbished to a high specification and arranged over first and second floor. The property comprises a bright open plan kitchen and reception room, master bedroom suite with en-suite shower room and built-in storage, two further double bedrooms, a modern family bathroom, separate WC and a private roof terrace. This bright and spacious property has been well finished throughout and is well located in the heart of Enfield with easy access to the many amenities and transport links including Enfield Town and Enfield Chase stations.BrochuresFull Details","Three bedrooms / For Three sharers, Available now, Centre of Enfield Town shopping hub, Arranged over two floors, Two bathrooms, Must be seen, Own private outside terrace, Newly refurbished, Furnished or Unfurnished, Electric included in the rent "
"Browns Road, Walthamstow, London","£2,200 pcm",29/08/2023,"Ask agentA deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Unfurnished,Ask agent,"Kings Lettings is proud to present this lovely three bedroom property on the well located Browns Road. Upon entrance the property consists of a large living room to the front of the property, followed by a fantastic sized dining room, and spacious kitchen to the rear that allows access to the rear garden. On the first floor are two double bedrooms and a single bedroom as well as a 3 piece bathroom. A major selling feature for this property is also the location, being situated on the border of the Walthamstow Village as well as being a short walk to both the famous Walthamstow Market as well as Walthamstow Central itself really sets this property apart. If it’s dinner in the Walthamstow Village, A two minute walk to the 24 hour Victoria Line or just the weekly shop at the local Sainsbury's, this property has access to it all. Call today to avoid certain disappointment!BrochuresBrowns Road, Walthamstow, LondonBrochure","Families only, Situated on the Border Walthamstow Village, Gas Central Heating, Double Glazed, Recently Refurbished, Split Level"
"Garraway Apartments, East Acton Lane, W3","£2,200 pcm",16/09/2023,"Ask agentA deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,,Furnished,Ask agent,"Regent are pleased to present this modern one-bedroom apartment located in Garraway Apartments part of the Western Circus development, W3.The property comprises an open-plan kitchen and living area with access to the balcony, a spacious bedroom and a modern bathroom.Residents will further enjoy landscaped gardens, outdoor space, Lidl supermarket and a café on-site. The development is an ideal home for students as it is near to world-class universities such as UCL and Imperial College London. It also offers a spectacular lifestyle with various kinds of independent cafés, bars, and restaurants. East Acton station is just minutes away and offers direct transport to the heart of London in just 18 minutes. Additionally, Crossrail to serve Acton Main Line by this June, will take 9 minutes to get you to Bond Street. All images used are for illustrative purposes only and do not represent actual property. Furniture and dimensions for this property type may differ. Regent Property comply with the Tenant Fees Act 2019 and are members of The Property Ombudsman scheme. Our Client Money Protection is provided by the UKALA Total Loss CMP scheme. For more information please visit our website or call our office on the number above.","Fully equipped kitchen , One bedroom, Excellent transport links, Communal garden, Spacious balcony, Energy rating: B"
"Triptych Bankside, Park Street, London, SE1","£3,467 pcm",01/08/2023,"£4,000A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"A new mixed-use development designed by internationally acclaimed London architects Squire & Partners, Triptych Bankside is a luxury architectural destination on the vibrant Southbank.   Comprising of two residential towers with 169 residences. Every home has outside space and the undulating curves of the façade create a new architectural narrative against the symmetrical towers that currently comprise the London skyline. The overall layout of the site has been meticulously planned to positively contribute to the local townscape and sense of place. This creates a seamless integration, with varied spaces to be enjoyed by residents.  Triptych Bankside provides residents with an uncompromising selection of five-star style services and private amenities, ensuring holistic wellness of both body and mind. Residents benefit from the bespoke service of the 24 hour concierge, stunning landscaped gardens, cinema and games rooms, private lounge and workspace.  Walk the scenic route into the City of London via the famous Millennium Bridge or enjoy a leisurely riverside stroll along the Southbank. Alternatively, three key transport hubs are within easy walking distance and offer seamless connectivity via bus, London Underground or National Rail.","Brand new Development, Vibrant Location, Selection of Apartments Available, Landscaped Gardens, Concierge, Games Room, Cinema, Private Lounge, Workspace, Private Balcony"
"Downton Avenue, Streatham Hill, London, SW2","£2,195 pcm",Ask agent,"£2,533A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Unfurnished,Ask agent,"LONG LET. Presented to an excellent standard throughout, this fantastic 2 bedroom ground floor flat offers bright and spacious interiors and a private garden, just moments from the amenities of Streatham Hill.Downton Avenue is located just off Streatham Hill, which offers a wide and lively selection of shops, bars and amenities. Streatham Hill Station (National Rail) is nearby, while the motorist is well served by the A23 and A24. Please use the reference CHPK1432932 when contacting Foxtons.BrochuresProperty detailsSuper sized images","Stunning 2 bedroom ground floor flat in a converted period property, Bright and spacious interiors with modern fittings trhoughout, Open-plan reception boasting original stained glass french doors, Superb new kitchen with stylish fittings and integrated appliances, Double size bedrooms fitted with new carpets, Huge private garden can be accessed through reception or side entrance, A stone throw from Streatham Hill amenities and train station, Available with Zero Deposit"
"Royal Circus, West Norwood, London, SE27","£1,850 pcm",Ask agent,"£2,135A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"LONG LET. Offering bright and spacious accommodation, this fantastic 2 bedroom Flat offers a contemporary finish througout with a stylish kitchen and a large reception room.Royal Circus is located within easy reach of Knights Hill, which offers a good selection of shops and amenities. Please use the reference CHPK3878516 when contacting Foxtons.BrochuresProperty detailsSuper sized images","Stunning 1st floor flat presented in excellent condition, Generous reception room with lovely Fireplace, Well equipped contemporary Kitchen, 2 double bedrooms, Modern bathroom, Private Garden, Great location close to many shops and amenities, Benefitting from a private entrance"
"St. Pauls Road, N1","£1,798 pcm",19/09/2023,"£1,673A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Unfurnished,Ask agent,"A charming one bedroom flat on the raised ground floor level within a substantial Victorian property situated close to Highbury & Islington station, Highbury Fields and all the popular amenities along Upper Street.  The flat has an elegant, sunny south facing living room with full height windows overlooking the rear gardens. There is a double bedroom with secondary glazing, a separate kitchen with fridge/freezer, dishwasher and washing machine and a good size bathroom.  The property is in good decorative condition with neutral colours.  Ideal for a professional person or couple. This property is available with a Deposit Free option which means that instead of paying a traditional five weeks security deposit, you pay a fee of one weeks rent + VAT to become a member of a deposit free renting scheme which significantly reduces the up-front costs. This fee is non-refundable and is not a deposit so cannot be used towards covering the cost of any future damage.BrochuresParticulars",
"North Bank, St John's Wood, London, NW8","£4,984 pcm",Ask agent,"£5,750A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"LONG LET. Set within a modern gated development, this superb 3 bedroom flat with lift offers a generous reception room with semi-open-plan kitchen, wonderful private garden and access to communal gymnasium.Located on North Bank, the property is within easy reach of an excellent selection of shops, bars and restaurants in St John's Wood, while the green open spaces of Regent's Park are moments away. The nearest underground station is St John's Wood. Please use the reference CHPK0910528 when contacting Foxtons.BrochuresProperty detailsSuper sized images","Excellent 3 bedroom flat, Spacious reception room with access to private garden, Modern fully integrated kitchen, 2 contemporary bathrooms, 3 double bedrooms, Ample built in storage space, Underground Parking available, Development with gymnasium, porter and lift"
"Grove End Road, St John's Wood, London, NW8","£4,117 pcm",Ask agent,"£4,750A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Part furnished,Ask agent,"LONG LET. Located in a fabulous building with porter, this refurbished 2 bedroom apartment boasts an en suite main bedroom and spacious bay-fronted reception room with wood floors.Situated moments from the shops, bars and restaurants of St John's Wood, Grove End Road is also near to London's famous Lord's Cricket Ground and Abbey Road Studios. Please use the reference CHPK0903669 when contacting Foxtons.BrochuresProperty detailsSuper sized images","Fabulous 2 bedroom flat arranged on the first floor, Smart residential building with lift access and porter, Bay-fronted reception room with ample space to dine, Features modern kitchen with integrated appliances, Bright main bedroom with en suite and fitted wardrobe, Available with Zero Deposit"
Stanhope Mews East South Kensington SW7,"£4,117 pcm",Now,"£4,750A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"A south facing four bedroom Mews house ideally located from the facilities of both Gloucester Road and South Kensington. Comprising reception room on the ground floor with wood flooring, dining area leading to the kitchen with a guest cloakroom well positioned for guests. To the first floor are three double bedrooms and a family bathroom with shower over bath. The principal bedroom suite occupies the entire second floor with en suite bathroom. Offering 1176 feet squared of living space arranged over the ground, first and second floor, available now.BrochuresBrochure:Web Broc...Property details","4 double bedrooms, Reception, Kitchen, 2 bathrooms, Cloakroom, Council Tax Band G"
"Sloane Avenue, Sloane Square, London, SW3","£4,767 pcm",Ask agent,"£1,100A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Short term,Ask agent,Ask agent,"SHORT LET. Set within a luxurious building with concierge and lift, this well presented 1 bedroom flat benefits from bright living space, an open-plan kitchen and a modern bathroom.Nell Gwynn House is ideally situated close to Sloane Square, Harrods and Harvey Nichols. It is set walking distance to the green open spaces of Hyde Park, Chelsea Physic Gardens and Battersea Park. Please use the reference CHPK2573317 when contacting Foxtons.BrochuresProperty detailsSuper sized images","Wonderful 1 bedroom apartment, Luxurious building with concierge and lift, Well presented throughout, Modern open-plan kitchen, Bright living space, Stylish shower room"
Metropolitan Crescent London SW4,"£3,750 pcm",Now,"£4,327A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Short term,Furnished,Ask agent,"SHORT LET: ALL BILLS INCLUDED. This luxurious 2-bedroom, 2-bathroom flat offers a contemporary living experience. The open-plan layout, modern furnishings, and ample natural light create a welcoming ambiance. With a fully equipped kitchen, comfortable bedrooms, stylish bathrooms, this short-term rental provides everything you need for a convenient and enjoyable stay. Located in the vibrant neighborhood of Clapham, you'll have easy access to trendy cafes, restaurants, and transport links.Available on a fully furnished basis for short term rental.Council tax: Lambeth band D.BrochuresProperty details","SHORT LET: ALL BILLS INCLUDED. , Excellent Location, 2 Bedrooms, 2 Bathrooms, Furnished, Off-street Parking "
"Ebury Bridge Road, Belgravia, London, SW1W","£3,879 pcm",Ask agent,"£4,475A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"LONG LET. Situated within a secure residential development moments from the amenities and transport links on Sloane Square, this stunning 2 bedroom flat offers ample living and entertaining space and a private Balcony.Ebury Bridge Road is linked to a collection of pavement lined cafes, galleries and local conveniences along Pimlico Road which leads into Sloane Square for a more extensive range of upmarket designer retailers and restaurants. Please use the reference KNCL0070457 when contacting Foxtons.BrochuresProperty detailsSuper sized images","Set within a secure residential development with concierge, Arranged over the second floor and accessed via lift, 2 bedroom with the master having an en-suite, Substantial reception/dining room with balcony access, Well equipped modern kitchen, Fantastic location moments from the River Thames, Close to the fashionable amenities on Sloane Square, Underground Parking included"
"Sloane Avenue, Chelsea, London, SW3","£2,384 pcm",Ask agent,"£2,750A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"LONG LET. Set on the 3rd floor (with Lift and Porter) of a popular Chelsea building, this smart 1 bedroom apartment offers stylish Chelsea living close to Knightsbridge and Sloane Square.Sloane Avenue is ideally located for the world class shopping available along Chelsea's King's Road while Harrods of Knightsbridge is a short walk away. Please use the reference CHPK2573273 when contacting Foxtons.BrochuresProperty detailsSuper sized images","Stunning 1 bedroom 3rd floor flat, Fully fitted, open-plan kitchen with integrated appliances, Bedroom with folding doors and wardrobe, Sleek bathroom with heated towel rail, Popular Chelsea building with Lift and Porter, Smart reception with space to dine"
"Beaufort Street, Chelsea, London, SW3","£1,734 pcm",Ask agent,"£2,000A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"LONG LET. This charming studio flat is ideally located in am attractive purpose built block close to the river in the heart of Chelsea.Belgrave Road is an attractive street and offers easy access to King's Road where many exclusive shops, boutiques and eateries can be found. Transport links include Sloane Square Underground Station. Please use the reference SLSQ0193476 when contacting Foxtons.BrochuresProperty detailsSuper sized images","Lovely studio, Excellent location, Open-plan kitchen, Bright living space, Modern bathroom"
"Holbein Place, London, SW1W","£16,250 pcm",Ask agent,"£0A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"A spacious and light fourth floor apartment in this prime location, within walking distance of Sloane Square amenities.A spacious and bright fourth floor apartment in this prime location, within walking distance of Sloane Square amenities.  Accommodation comprises: three bedrooms, three bathrooms (two en suite), master bedroom with dressing room, large dining area, fully fitted kitchen, utility area and private south-facing terrace.EPC Rating CLocal Authority: Kensington & ChelseaCouncill Tax Band: HDeposit: 6 Weeks Rent","Furnished, Roof terrace, Underground parking, Porter/security, Wood floors, Private access lift"
"Ritson Road, Dalston, London, E8","£6,000 pcm",Ask agent,"£1,385A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Short term,Ask agent,Ask agent,"SHORT LET. This stunning 2 bedroom flat is set in the former Grade II listed German Hospital, opened in 1845. An exquisite contemporary design is showcased throughout, with the reception benefitting from plenty of natural light.The historic Ritson Road offers is in close proximity to many amenities and local attractions, including Broadway Market and Columbia Road Flower Market. Hackney Central and other transport links are also easily accessible from here. Please use the reference CHPK3467106 when contacting Foxtons.BrochuresProperty detailsSuper sized images","Refurbished apartment set over 2 floors, Set in a beautiful and historic Grade II listed building, Gorgeous contemporary reception, Spacious, modernised kitchen with integrated appliances, 2 Double bedrooms with elegant finishes and period accents, Eclectic ensuite shower room and bathroom, Feature walls throughout"
"Wallwood Street, London, E14","£1,750 pcm",19/08/2023,"£2,192A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"The apartment comprises of one spacious modern double bedroom, well-presented ceramic family bathroom, sophisticated fully fitted kitchen that combines elegance and functionality with integrated appliances and a generous lounge area with a graceful dining space. This property comes fully furnished, is offered in flawless condition and includes video door entry system and communal satellite dish.Whatman House is a sustainable development providing spacious modern apartments perfectly situated in the heart of Poplar and within easy access to Canary Wharf, City and Olympic epicentre of Stratford and O2 Area. Remarkably this five storey building incorporates a communal landscaped roof terrace. Westferry DLR Station is only 600 metres away and London transport bus routes stop regularly on Burdett Road, adjacent to the development which provides great transport links to and from Canary Wharf,EPC Rating: BCouncil Tax Band: CReservation Fee: One Weeks RentLength Of Agreement: 12 Months (break clause optional) Council Tax Band:  Holding Deposit: £438.00","One Bedroom Apartment, Coutts Court, Phone Entry System, Furnished"
"Earls Court Road, Earls Court, London, SW5","£2,817 pcm",Ask agent,"£3,250A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"LONG LET. Ideally placed at the rear of a smart period conversion, this 2 bedroom flat boasts recently refurbished accommodation with beautiful wood floors, modern fittings and a private Patio.Earls Court Road features a great range of shops, restaurants and other amenities. Please use the reference CHPK3659379 when contacting Foxtons.BrochuresProperty detailsSuper sized images","Lovely 2 bedroom flat, Impressive period conversion, Recently refurbished to a high standard, Contemporary fixtures and fittings, Private patio, Excellent living and entertaining space, Fantastic location, Available with Zero Deposit"
"Old Brompton Road, Earls Court, London, SW5","£2,687 pcm",Ask agent,"£3,100A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Furnished,Ask agent,"LONG LET. Set within a fantastic modern development in the heart of Earls Court, This stylish and contemporary 1 bedroom apartment offers a bright and open-plan interior, en suite bathroom and a delightful private roof terrace.Old Brompton Road is ideally located for a collection of local shops and restaurants available along Earls Court Road while Earls Court Underground Station offers easy access to the city and Heathrow. Please use the reference NWHM4057591 when contacting Foxtons.BrochuresProperty detailsSuper sized images","Fabulous 1 bedroom 1st floor apartment, Stunning reception room with access to roof terrace, Open plan kitchen with separate dining area, Wonderful double bedroom with en suite bathroom, Finished to an exceptionally high standard, Set within a wonderful remodelled building with lift, Excellent location close to shops, Available with Zero Deposit"
"Andrewes House, Barbican","£2,999 pcm",Ask agent,"Ask agentA deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.",Ask agent,Long term,Unfurnished,Ask agent,"A lovely one bedroom apartment in the Barbican, presented in first class condition. The flat has a modern kitchen with new appliances, a south facing balcony and has just been decorated throughout.Andrewes House is on the south east side of the Barbican Estate, close to Finsbury Square and London Wall. Nearest public transport is at Moorgate station, with Barbican, Liverpool Street and St. Paul's stations also nearby.","One Bedroom, Immaculate Condition, Modern Kitchen, Bedroom Overlooking Gardens, Balcony, Unfurnished"
